video_id,frame_path,slot_name,crop_path,crop_type,card_name,score,split,chunk_id
manual_wizard,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/manual_wizard/frame_00001.png,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/manual_wizard/frame_00001_card_1.png,hand,wizard,100,train,0
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00005.jpg,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00005_card_1.jpg,hand,fire-spirit,3,train,0
,,,,,,,,
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00006.jpg,next_card,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/missing1/frame_00006_next_card.jpg,next,bomber,113,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00007.jpg,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00007_card_1.jpg,hand,arrows,56,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00007.jpg,card_2,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00007_card_2.jpg,hand,barbarian-hut,62,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00007.jpg,next_card,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/missing1/frame_00007_next_card.jpg,next,bomber,109,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00008.jpg,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00008_card_1.jpg,hand,arrows,62,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00008.jpg,card_2,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00008_card_2.jpg,hand,barbarian-hut,67,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00008.jpg,card_3,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00008_card_3.jpg,hand,elixir-golem,24,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00008.jpg,card_4,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00008_card_4.jpg,hand,barbarian-barrel,99,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00008.jpg,next_card,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/missing1/frame_00008_next_card.jpg,next,bomber,105,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00009.jpg,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00009_card_1.jpg,hand,arrows,65,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00009.jpg,card_2,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00009_card_2.jpg,hand,barbarian-hut,69,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00009.jpg,card_3,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00009_card_3.jpg,hand,elixir-golem,23,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00009.jpg,card_4,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00009_card_4.jpg,hand,barbarian-barrel,110,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00009.jpg,next_card,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/missing1/frame_00009_next_card.jpg,next,bomber,96,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00010.jpg,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00010_card_1.jpg,hand,arrows,63,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00010.jpg,card_2,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00010_card_2.jpg,hand,barbarian-hut,67,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00010.jpg,card_3,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00010_card_3.jpg,hand,elixir-golem,22,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00010.jpg,card_4,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00010_card_4.jpg,hand,barbarian-barrel,108,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00010.jpg,next_card,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/missing1/frame_00010_next_card.jpg,next,bomber,95,val,1
missing1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/missing1/frame_00011.jpg,card_1,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/missing1/frame_00011_card_1.jpg,hand,arrows,73,train,2
