                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9499,                 3.7858,                 3.0349,                0.60822,                0.05718,                 0.0623,                0.03589,                 1.8249,                 1.7056,                 2.3349,             3.7326e-05,             3.7326e-05,             3.7326e-05
                      2,                 1.4647,                 1.3423,                 1.4159,                0.33686,                0.14781,                0.11691,                0.06897,                 1.6105,                 1.2278,                 2.0728,             7.0964e-05,             7.0964e-05,             7.0964e-05
                      3,                  1.087,                0.98315,                 1.1688,                0.24806,                0.24416,                0.18197,                0.10747,                 1.5649,                  1.222,                 2.0282,             0.00010091,             0.00010091,             0.00010091
                      4,                0.93995,                0.84474,                  1.083,                 0.3009,                 0.3021,                0.24035,                0.14226,                 1.5253,                 1.1811,                 1.9837,             9.5368e-05,             9.5368e-05,             9.5368e-05
                      5,                0.86232,                0.76225,                 1.0386,                 0.3684,                0.34693,                0.30368,                0.18235,                 1.5208,                 1.1543,                 1.9963,             9.5368e-05,             9.5368e-05,             9.5368e-05
                      6,                0.80777,                0.70136,                  1.009,                0.47145,                0.37204,                  0.362,                0.21646,                 1.5086,                 1.1354,                 2.0054,             9.5368e-05,             9.5368e-05,             9.5368e-05
                      7,                0.77265,                0.65851,                0.99065,                0.48654,                0.39874,                0.39866,                0.23822,                 1.4847,                 1.1126,                 1.9868,              8.428e-05,              8.428e-05,              8.428e-05
                      8,                0.74664,                0.62712,                0.97766,                0.51539,                0.42853,                0.43042,                0.25765,                 1.4857,                 1.1067,                 2.0018,             7.8736e-05,             7.8736e-05,             7.8736e-05
                      9,                0.72603,                0.60263,                0.96773,                0.54601,                0.44251,                0.45938,                0.27503,                 1.4672,                 1.0869,                 1.9989,             7.3192e-05,             7.3192e-05,             7.3192e-05
                     10,                0.70639,                0.58128,                0.95816,                0.56792,                0.46606,                0.48465,                0.29078,                 1.4674,                 1.0872,                 2.0117,             7.3192e-05,             7.3192e-05,             7.3192e-05
                     11,                0.69225,                0.56443,                0.95168,                0.61088,                0.45647,                0.49699,                0.29788,                 1.4495,                 1.0777,                 1.9942,             6.2104e-05,             6.2104e-05,             6.2104e-05
                     12,                0.68018,                0.55035,                0.94618,                0.65139,                0.45469,                0.50824,                0.30357,                 1.4466,                  1.069,                  1.997,              5.656e-05,              5.656e-05,              5.656e-05
                     13,                0.66995,                0.53857,                0.94174,                0.63804,                0.47917,                 0.5194,                0.31183,                 1.4392,                 1.0563,                 1.9951,             5.1016e-05,             5.1016e-05,             5.1016e-05
                     14,                0.66238,                0.52921,                0.93824,                 0.6501,                0.47947,                0.52582,                0.31575,                 1.4333,                 1.0585,                 1.9901,             4.5472e-05,             4.5472e-05,             4.5472e-05
                     15,                 0.6544,                0.52002,                0.93464,                0.65479,                0.49466,                0.53622,                0.32237,                 1.4285,                 1.0524,                 1.9873,             3.9928e-05,             3.9928e-05,             3.9928e-05
                     16,                0.64857,                0.51402,                0.93239,                0.63821,                  0.503,                0.53744,                0.32342,                 1.4227,                 1.0511,                  1.987,             3.4384e-05,             3.4384e-05,             3.4384e-05
                     17,                0.64233,                0.50764,                0.92941,                0.63269,                0.51879,                0.54369,                0.32694,                 1.4264,                 1.0512,                 1.9977,              2.884e-05,              2.884e-05,              2.884e-05
                     18,                0.63822,                0.50258,                0.92764,                0.64894,                0.51258,                0.54655,                0.32953,                 1.4208,                 1.0458,                 1.9959,             2.3296e-05,             2.3296e-05,             2.3296e-05
                     19,                 0.6346,                0.49877,                 0.9262,                 0.6554,                0.51492,                0.55004,                0.33128,                 1.4131,                 1.0392,                 1.9909,             1.7752e-05,             1.7752e-05,             1.7752e-05
                     20,                0.63182,                0.49581,                 0.9251,                0.65522,                0.51424,                0.55133,                0.33254,                 1.4161,                 1.0442,                 1.9932,             1.2208e-05,             1.2208e-05,             1.2208e-05
