video_id,frame_path,slot_name,crop_type,crop_path,card_name,score,needs_review,review_priority,slot_roi_x,slot_roi_y,slot_roi_w,slot_roi_h
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00028.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00028_card_1.jpg,skeleton-king,25,True,high,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00028.jpg,card_2,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00028_card_2.jpg,skeleton-dragons,24,True,high,430,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00028.jpg,card_3,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00028_card_3.jpg,valkyrie,21,True,high,630,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00028.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00028_next_card.jpg,mini-pekka,40,True,medium,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00018.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00018_card_1.jpg,skeleton-king,54,True,medium,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00018.jpg,card_2,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00018_card_2.jpg,skeleton-dragons,18,True,high,430,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00018.jpg,card_4,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00018_card_4.jpg,goblin-cage,55,True,medium,840,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00018.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00018_next_card.jpg,valkyrie,76,False,low,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00095.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00095_card_1.jpg,skeleton-king,23,True,high,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00095.jpg,card_2,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00095_card_2.jpg,skeleton-dragons,21,True,high,430,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00095.jpg,card_4,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00095_card_4.jpg,arrows,14,True,high,840,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00095.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00095_next_card.jpg,goblin-hut,55,True,medium,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00055.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00055_card_1.jpg,skeleton-king,35,True,high,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00055.jpg,card_2,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00055_card_2.jpg,skeleton-dragons,39,True,high,430,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00055.jpg,card_3,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00055_card_3.jpg,valkyrie,28,True,high,630,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00055.jpg,card_4,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00055_card_4.jpg,mini-pekka,9,True,high,840,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00055.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00055_next_card.jpg,musketeer,74,False,low,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00012.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00012_card_1.jpg,skeleton-king,94,False,low,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00012.jpg,card_3,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00012_card_3.jpg,goblin-hut,80,False,low,630,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00012.jpg,card_4,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00012_card_4.jpg,goblin-cage,116,False,low,840,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00012.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00012_next_card.jpg,skeleton-dragons,102,False,low,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00004.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00004_card_1.jpg,musketeer,72,False,low,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00004.jpg,card_3,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00004_card_3.jpg,goblin-hut,80,False,low,630,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00004.jpg,card_4,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00004_card_4.jpg,goblin-cage,121,False,low,840,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00004.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00004_next_card.jpg,skeleton-king,97,False,low,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00068.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00068_card_1.jpg,skeleton-king,91,False,low,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00068.jpg,card_2,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00068_card_2.jpg,skeleton-dragons,96,False,low,430,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00068.jpg,card_3,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00068_card_3.jpg,valkyrie,91,False,low,630,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00068.jpg,next_card,next,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/next/phone-recording9/frame_00068_next_card.jpg,musketeer,66,True,medium,40,2260,120,125
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00059.jpg,card_1,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00059_card_1.jpg,skeleton-king,43,True,medium,230,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00059.jpg,card_2,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00059_card_2.jpg,skeleton-dragons,41,True,medium,430,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00059.jpg,card_3,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00059_card_3.jpg,valkyrie,38,True,high,630,2020,220,300
phone-recording9,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/frames/phone-recording9/frame_00059.jpg,card_4,hand,/home/keschler/Documents/Coding/cr-bot/capture/data/card_classifier/crops/hand/phone-recording9/frame_00059_card_4.jpg,mini-pekka,22,True,high,840,2020,220,300
